Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
9,Cuiabá,34,13,8,13,36,35,1,47,1.38,34.7,37.4,-2.8,-0.08,W L D W W,8586,Deyverson - 12,Walter,
10,São Paulo,34,12,10,12,37,36,1,46,1.35,44.8,34.4,10.4,0.31,D W W D L,26130,Jonathan Calleri - 9,Rafael Pires,
11,Fortaleza,34,12,8,14,38,40,-2,44,1.29,46.6,39.9,6.7,0.2,L D L L D,21891,Juan Martín Lucero - 8,João Ricardo Riedi,
12,Corinthians,34,10,14,10,39,39,0,44,1.29,35.5,43.6,-8.1,-0.24,D W L D W,24719,Yuri Alberto - 8,Cássio,
13,Internacional,34,11,10,13,38,43,-5,43,1.26,37.3,43.9,-6.6,-0.19,L D W D L,11253,"Enner Valencia, Wanderson - 6",Sergio Rochet,
