Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Team,Championship,Player_Team
Juninho,BRA,MF,36,33,29,2676.0,29.7,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,2.3,2.3,3.4,5.7,28.0,96.0,148.0,0.1,0.07,0.17,0.1,0.17,0.08,0.12,0.19,0.08,0.19,america-mg,Brasileiro,Juninho (america-mg)
Leandro Emmanuel Martínez,ARG,MF,29,32,26,2360.0,26.2,1.0,4.0,5.0,1.0,0.0,0.0,3.0,0.0,3.2,3.2,4.0,7.2,65.0,141.0,96.0,0.04,0.15,0.19,0.04,0.19,0.12,0.15,0.28,0.12,0.28,america-mg,Brasileiro,Leandro Emmanuel Martínez (america-mg)
Iago Maidana,BRA,DF,27,29,24,2150.0,23.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.8,0.8,0.1,0.9,17.0,54.0,7.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,america-mg,Brasileiro,Iago Maidana (america-mg)
Felipe Azevedo,BRA,"FW,MF",36,28,23,1625.0,18.1,4.0,1.0,5.0,4.0,0.0,0.0,3.0,1.0,3.5,3.5,2.0,5.4,30.0,49.0,116.0,0.22,0.06,0.28,0.22,0.28,0.19,0.11,0.3,0.19,0.3,america-mg,Brasileiro,Felipe Azevedo (america-mg)
Danilo Avelar,BRA,DF,34,24,22,1828.0,20.3,3.0,1.0,4.0,2.0,1.0,1.0,5.0,1.0,3.9,3.2,0.6,3.7,11.0,66.0,38.0,0.15,0.05,0.2,0.1,0.15,0.19,0.03,0.22,0.16,0.18,america-mg,Brasileiro,Danilo Avelar (america-mg)
Gonzalo Mastriani,URU,FW,30,22,20,1675.0,18.6,11.0,1.0,12.0,10.0,1.0,2.0,1.0,1.0,10.7,9.1,1.5,10.6,8.0,22.0,82.0,0.59,0.05,0.64,0.54,0.59,0.57,0.08,0.66,0.49,0.57,america-mg,Brasileiro,Gonzalo Mastriani (america-mg)
Ricardo Silva,BRA,DF,31,19,17,1574.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.1,0.4,10.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,america-mg,Brasileiro,Ricardo Silva (america-mg)
Marlon,BRA,DF,29,23,15,1404.0,15.6,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.7,1.2,55.0,66.0,69.0,0.06,0.06,0.13,0.06,0.13,0.03,0.04,0.08,0.03,0.08,america-mg,Brasileiro,Marlon (america-mg)
Matheus Cavichioli,BRA,GK,37,15,15,1348.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,america-mg,Brasileiro,Matheus Cavichioli (america-mg)
Eder,BRA,DF,28,20,14,1302.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.1,0.1,0.2,0.3,9.0,49.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,america-mg,Brasileiro,Eder (america-mg)
