Rk,Squad,Home_MP,Home_W,Home_D,Home_L,Home_GF,Home_GA,Home_GD,Home_Pts,Home_Pts/MP,Home_xG,Home_xGA,Home_xGD,Home_xGD/90,Away_MP,Away_W,Away_D,Away_L,Away_GF,Away_GA,Away_GD,Away_Pts,Away_Pts/MP,Away_xG,Away_xGA,Away_xGD,Away_xGD/90
1,Palmeiras,17,12,2,3,30,12,18,38,2.24,30.4,11.4,19.0,1.12,17,6,6,5,26,18,8,24,1.41,19.3,24.2,-4.8,-0.28
2,Botafogo (RJ),17,11,2,4,35,16,19,35,2.06,30.7,18.4,12.3,0.73,17,7,5,5,20,16,4,26,1.53,14.3,26.4,-12.0,-0.71
3,Flamengo,17,9,5,3,24,12,12,32,1.88,24.4,19.6,4.8,0.28,17,8,4,5,27,25,2,28,1.65,19.4,22.4,-3.0,-0.18
