Rk,Squad,Home_MP,Home_W,Home_D,Home_L,Home_GF,Home_GA,Home_GD,Home_Pts,Home_Pts/MP,Home_xG,Home_xGA,Home_xGD,Home_xGD/90,Away_MP,Away_W,Away_D,Away_L,Away_GF,Away_GA,Away_GD,Away_Pts,Away_Pts/MP,Away_xG,Away_xGA,Away_xGD,Away_xGD/90
15,Vasco da Gama,17,8,2,7,20,18,2,26,1.53,26.5,17.7,8.8,0.52,17,3,6,8,17,27,-10,15,0.88,16.7,24.1,-7.4,-0.43
16,Cruzeiro,17,4,6,7,12,15,-3,18,1.06,21.4,15.8,5.6,0.33,17,6,5,6,20,15,5,23,1.35,19.4,22.2,-2.7,-0.16
17,Bahia,17,7,5,5,25,19,6,26,1.53,24.9,19.2,5.7,0.33,17,3,3,11,14,28,-14,12,0.71,16.9,27.9,-11.0,-0.64
18,Goiás,17,4,7,6,18,24,-6,19,1.12,19.9,18.1,1.8,0.11,17,4,4,9,16,25,-9,16,0.94,14.4,23.8,-9.4,-0.55
19,Coritiba,17,4,3,10,16,25,-9,15,0.88,20.4,22.2,-1.8,-0.1,17,4,2,11,23,42,-19,14,0.82,15.4,31.8,-16.4,-0.97
